Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22313627,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765365286""","=""9780765365286""",4,4.75,Tor Fantasy,Mass Market Paperback,1310,2015,2014,2022/03/23,2021/12/22,,,read,,,,1,,,0,,,,,
642049,"Hunters Of Dune (Dune Chronicles, #7)",Brian Herbert,"Herbert, Brian",Kevin J. Anderson,"=""076535148X""","=""9780765351487""",4,3.66,Tor Science Fiction,Mass Market Paperback,576,2007,2006,2013/03/10,2013/02/14,,,read,,,,1,,,0,,,,,
40701780,"The Wisdom of Crowds (The Age of Madness, #3)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575095970""","=""9780575095977""",5,4.61,Gollancz,Paperback,520,2021,2021,2021/10/11,2021/09/17,,,read,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.25,Ace Books,Hardcover,658,2019,1965,,2021/09/17,,,read,,,,1,,,0,,,,,
19170357,The Effortless Sleep Companion: From Chronic Insomnia to the Best Sleep of your Life (The Effortless Sleep Trilogy Book 2),Sasha Stephens,"Stephens, Sasha",,"=""""","=""""",5,4.41,,Kindle Edition,191,2013,2013,,2021/03/09,,,read,,,,1,,,0,,,,,
488555,"Star Wars, Episode III: Revenge of the Sith (Star Wars: Novelizations #3)",Matthew Woodring Stover,"Stover, Matthew Woodring",George Lucas,"=""0345428846""","=""9780345428844""",5,4.19,Del Rey/Ballantine Books,Mass Market Paperback,451,2005,2005,2021/02/28,2021/02/16,,,read,,,,1,,,0,,,,,
11085563,The Effortless Sleep Method: The Incredible New Cure for Insomnia and Chronic Sleep Problems,Sasha Stephens,"Stephens, Sasha",,"=""1456492543""","=""9781456492540""",5,3.76,Createspace Independent Publishing Platform,Paperback,186,2011,2011,,2021/02/25,,,read,,,,1,,,0,,,,,
504420,"Protect and Defend (Mitch Rapp, #10)",Vince Flynn,"Flynn, Vince",,"=""074327041X""","=""9780743270410""",4,4.34,Atria Books,Hardcover,416,2007,2007,2020/12/30,2020/12/16,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.48,Scholastic Inc,Hardcover,309,2003,1997,,2020/12/06,,,read,,,,1,,,0,,,,,
40701777,"The Trouble with Peace (The Age of Madness, #2)",Joe Abercrombie,"Abercrombie, Joe",,"=""0575095911""","=""9780575095915""",5,4.61,Gollancz,Hardcover,506,2020,2020,2020/10/27,2020/09/27,,,read,"And once  again -  a superb book. Story maybe a bit sluggish at the beginning but then gets full-steam in the last quarter so its just hard to put down. The characters are all  vivid and bright, the plot twists were  really hard to predict. This is barely a fantasy novel anymore but  rather a tell of realpolitik and war only set into an imaginary world. And of course famous one-liners and witty humour are all in place.  Five out of five, Joe Abercrombie as usual surpasses every expectation.Just can't wait yet another year for the wrap up.",,,1,,,0,,,,,
